method_id,principle,rater_scores
systems/Projects/jmeter-master/src/components/src/main/java/org/apache/jmeter/assertions/ResponseAssertion.java:205-207,dip,"{""dip_rater_annotator_a"": 0, ""dip_rater_annotator_b"": 2}"
systems/Projects/struts-main/core/src/main/java/org/apache/struts2/ognl/SecurityMemberAccess.java:433-435,dip,"{""dip_rater_annotator_a"": 0, ""dip_rater_annotator_b"": 2}"
systems/Projects/struts-main/core/src/main/java/org/apache/struts2/util/TextParseUtil.java:256-258,dip,"{""dip_rater_annotator_a"": 0, ""dip_rater_annotator_b"": 2}"
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/ser/std/BeanSerializerBase.java:746-778,ocp,"{""ocp_rater_annotator_a"": 0, ""ocp_rater_annotator_b"": 2}"
systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/cfg/CacheProviderTest.java:120-122,ocp,"{""ocp_rater_annotator_a"": 0, ""ocp_rater_annotator_b"": 2}"
systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/util/JsseSSLManager.java:98-120,ocp,"{""ocp_rater_annotator_a"": 0, ""ocp_rater_annotator_b"": 2}"
systems/Projects/jmeter-master/src/protocol/http/src/test/java/org/apache/jmeter/protocol/http/sampler/TestHTTPSamplersAgainstHttpMirrorServer.java:647-672,ocp,"{""ocp_rater_annotator_a"": 0, ""ocp_rater_annotator_b"": 2}"
systems/Projects/selenium-trunk/java/src/org/openqa/selenium/docker/v1_41/PullImage.java:45-79,ocp,"{""ocp_rater_annotator_a"": 0, ""ocp_rater_annotator_b"": 2}"
systems/Projects/selenium-trunk/java/src/org/openqa/selenium/remote/http/RetryRequest.java:39-80,ocp,"{""ocp_rater_annotator_a"": 0, ""ocp_rater_annotator_b"": 2}"
systems/Projects/struts-main/core/src/main/java/org/apache/struts2/ActionSupport.java:345-360,ocp,"{""ocp_rater_annotator_a"": 2, ""ocp_rater_annotator_b"": 0}"
systems/Projects/struts-main/core/src/main/java/org/apache/struts2/text/AbstractLocalizedTextProvider.java:111-133,ocp,"{""ocp_rater_annotator_a"": 0, ""ocp_rater_annotator_b"": 2}"
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/views/jsp/ui/FieldErrorTagTest.java:116-138,ocp,"{""ocp_rater_annotator_a"": 0, ""ocp_rater_annotator_b"": 2}"
systems/Projects/SolidLeaning/fitnesse/test/fitnesse/responders/files/PublisherTest.java:72-79,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}"
systems/Projects/SolidLeaning/fitnesse/test/fitnesse/responders/refactoring/SearchReplaceMethodResponderTest.java:103-130,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}"
systems/Projects/SolidLeaning/fitnesse/test/fitnesse/wiki/fs/DiskFileSystemTest.java:24-34,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}"
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/ser/std/StdKeySerializers.java:154-197,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}"
systems/Projects/jmeter-master/src/components/src/main/java/org/apache/jmeter/visualizers/backend/graphite/GraphiteBackendListenerClient.java:301-331,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}"
systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/testbeans/gui/ComboStringEditor.java:110-145,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}"
systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/threads/JMeterThread.java:773-785,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}"
systems/Projects/jmeter-master/src/protocol/http/src/test/java/org/apache/jmeter/gui/action/ParseCurlCommandActionTest.java:459-468,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}"
systems/Projects/jmeter-master/src/protocol/jdbc/src/main/java/org/apache/jmeter/protocol/jdbc/AbstractJDBCTestElement.java:163-239,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}"
systems/Projects/struts-main/core/src/main/java/org/apache/struts2/text/AbstractLocalizedTextProvider.java:111-133,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}"
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/views/jsp/ui/FieldErrorTagTest.java:96-114,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}"
systems/Projects/struts-main/plugins/json/src/main/java/org/apache/struts2/json/JSONReader.java:75-123,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}"
