method_id,principle,rater_scores,na_flags,reason
systems/Projects/struts-main/plugins/convention/src/test/java/org/apache/struts2/convention/actions/interceptor/InterceptorsAction.java:46-48,srp,"{""srp_rater_annotator_a"": 2, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/junit5-main/junit-platform-console/src/main/java/org/junit/platform/console/tasks/TestFeedPrintingListener.java:68-83,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/struts-main/plugins/tiles/src/test/java/org/apache/tiles/api/AttributeTest.java:191-197,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.java:944-994,srp,"{""srp_rater_annotator_a"": 2, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/struts-main/plugins/javatemplates/src/main/java/org/apache/struts2/views/java/simple/LabelHandler.java:30-45,srp,"{""srp_rater_annotator_a"": 2, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/selenium-trunk/java/test/org/openqa/selenium/bidi/script/ScriptEventsTest.java:68-81,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/commons-lang-master/src/main/java/org/apache/commons/lang3/ArrayUtils.java:4792-4794,srp,"{""srp_rater_annotator_a"": NaN, ""srp_rater_annotator_b"": 2.0}","{""srp_na_annotator_a"": 1, ""srp_na_annotator_b"": 0}",na_or_missing
systems/Projects/SolidLeaning/fitnesse/test/fitnesse/responders/refactoring/SearchReplaceMethodResponderTest.java:103-130,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/junit5-main/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/extension/DefaultTestReporter.java:39-41,srp,"{""srp_rater_annotator_a"": NaN, ""srp_rater_annotator_b"": 2.0}","{""srp_na_annotator_a"": 1, ""srp_na_annotator_b"": 0}",na_or_missing
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/deser/std/JsonNodeDeserializer.java:352-381,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/module/SimpleModuleTest.java:56-58,srp,"{""srp_rater_annotator_a"": 2, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/components/src/main/java/org/apache/jmeter/visualizers/PropertyControlGui.java:199-210,srp,"{""srp_rater_annotator_a"": 2, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/struct/UnwrapSingleArrayScalarsTest.java:416-438,srp,"{""srp_rater_annotator_a"": 2, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/protocol/http/src/test/java/org/apache/jmeter/gui/action/ParseCurlCommandActionTest.java:459-468,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/junit5-main/platform-tests/src/test/java/org/junit/platform/launcher/core/DefaultLauncherEngineFilterTests.java:151-168,srp,"{""srp_rater_annotator_a"": 2, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/util/UnknownHandlerManagerTest.java:57-75,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/dispatcher/TwoFilterIntegrationTest.java:152-180,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 0}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/struts-main/plugins/json/src/main/java/org/apache/struts2/json/JSONPopulator.java:139-179,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/convert/CoerceFloatToStringTest.java:90-101,srp,"{""srp_rater_annotator_a"": 2, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.java:1280-1320,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/SolidLeaning/fitnesse/test/fitnesse/responders/files/PublisherTest.java:72-79,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/ser/std/StdKeySerializers.java:154-197,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/selenium-trunk/java/src/org/openqa/selenium/remote/http/RetryRequest.java:39-80,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/junit5-main/jupiter-tests/src/test/java/org/junit/jupiter/engine/TestTemplateInvocationTests.java:694-720,srp,"{""srp_rater_annotator_a"": 2, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/selenium-trunk/java/test/org/openqa/selenium/support/ui/FluentWaitTest.java:244-265,srp,"{""srp_rater_annotator_a"": 2, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/util/JsseSSLManager.java:98-120,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/struts-main/plugins/json/src/main/java/org/apache/struts2/json/JSONReader.java:75-123,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/threads/JMeterThread.java:773-785,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/SolidLeaning/fitnesse/test/fitnesse/wiki/fs/DiskFileSystemTest.java:24-34,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/SolidLeaning/fitnesse/test/fitnesse/responders/run/SuiteResponderTest.java:533-550,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/struts-main/plugins/tiles/src/test/java/org/apache/tiles/el/ELAttributeEvaluatorTest.java:103-135,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/jorphan/src/main/java/org/apache/jorphan/gui/MenuScroller.java:585-598,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/SolidLeaning/fitnesse/test/fitnesse/responders/testHistory/ExecutionLogResponderTest.java:24-30,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/protocol/jdbc/src/main/java/org/apache/jmeter/protocol/jdbc/AbstractJDBCTestElement.java:163-239,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/SolidLeaning/fitnesse/test/fitnesse/responders/WikiPageResponderTest.java:223-233,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/views/jsp/ui/ComponentTest.java:233-265,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/junit5-main/junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/ForkJoinPoolHierarchicalTestExecutorService.java:84-90,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/components/src/main/java/org/apache/jmeter/visualizers/backend/graphite/GraphiteBackendListenerClient.java:301-331,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/views/jsp/ui/FieldErrorTagTest.java:96-114,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/SolidLeaning/fitnesse/src/fitnesse/testsystems/slim/SlimTestSystem.java:141-198,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/testbeans/gui/ComboStringEditor.java:110-145,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/struts-main/core/src/main/java/org/apache/struts2/text/AbstractLocalizedTextProvider.java:111-133,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/SolidLeaning/fitnesse/src/fitnesse/testsystems/slim/results/SlimExceptionResult.java:114-140,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/struts-main/core/src/main/java/org/apache/struts2/util/finder/ResourceFinder.java:1115-1158,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 0}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/report/config/ReportGeneratorConfiguration.java:142-211,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/util/XPathUtil.java:375-413,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/commons-lang-master/src/test/java/org/apache/commons/lang3/text/StrBuilderTest.java:865-899,srp,"{""srp_rater_annotator_a"": 1, ""srp_rater_annotator_b"": 2}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/cfg/CoercionConfigs.java:161-252,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/protocol/http/src/test/java/org/apache/jmeter/protocol/http/control/TestCookieManagerThreadIteration.java:146-210,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/gui/AuthPanel.java:236-282,srp,"{""srp_rater_annotator_a"": 0, ""srp_rater_annotator_b"": 1}","{""srp_na_annotator_a"": 0, ""srp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/selenium-trunk/java/src/org/openqa/selenium/grid/Main.java:116-155,ocp,"{""ocp_rater_annotator_a"": 1, ""ocp_rater_annotator_b"": 2}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/deser/creators/ConstructorDetectorTest.java:113-115,ocp,"{""ocp_rater_annotator_a"": 2.0, ""ocp_rater_annotator_b"": NaN}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 1}",na_or_missing
systems/Projects/struts-main/core/src/main/java/org/apache/struts2/ActionSupport.java:345-360,ocp,"{""ocp_rater_annotator_a"": 2, ""ocp_rater_annotator_b"": 0}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/selenium-trunk/java/test/org/openqa/selenium/support/ui/SlowLoadableComponentTest.java:140-145,ocp,"{""ocp_rater_annotator_a"": 2, ""ocp_rater_annotator_b"": 1}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/commons-lang-master/src/main/java/org/apache/commons/lang3/StringUtils.java:1906-1915,ocp,"{""ocp_rater_annotator_a"": 2, ""ocp_rater_annotator_b"": 1}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/protocol/http/src/test/java/org/apache/jmeter/protocol/http/sampler/TestHTTPSamplersAgainstHttpMirrorServer.java:647-672,ocp,"{""ocp_rater_annotator_a"": 0, ""ocp_rater_annotator_b"": 2}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/boot/jaxb/internal/AbstractBinder.java:149-174,ocp,"{""ocp_rater_annotator_a"": 2, ""ocp_rater_annotator_b"": 1}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/SolidLeaning/fitnesse/src/fitnesse/wiki/RecentChangesWikiPage.java:21-24,ocp,"{""ocp_rater_annotator_a"": 1, ""ocp_rater_annotator_b"": 2}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/components/src/main/java/org/apache/jmeter/gui/action/ExportTransactionAndSamplerNames.java:94-106,ocp,"{""ocp_rater_annotator_a"": 1, ""ocp_rater_annotator_b"": 0}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/views/jsp/ui/FieldErrorTagTest.java:116-138,ocp,"{""ocp_rater_annotator_a"": 0, ""ocp_rater_annotator_b"": 2}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/selenium-trunk/java/src/org/openqa/selenium/docker/v1_41/PullImage.java:45-79,ocp,"{""ocp_rater_annotator_a"": 0, ""ocp_rater_annotator_b"": 2}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/selenium-trunk/java/test/org/openqa/selenium/bidi/log/LogInspectorTest.java:106-126,ocp,"{""ocp_rater_annotator_a"": 2, ""ocp_rater_annotator_b"": 1}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/commons-lang-master/src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveMultipleTest.java:318-320,ocp,"{""ocp_rater_annotator_a"": 1, ""ocp_rater_annotator_b"": 2}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/SolidLeaning/fitnesse/test/fitnesse/junit/JUnitRunNotifierResultsListenerTest.java:39-42,ocp,"{""ocp_rater_annotator_a"": 1, ""ocp_rater_annotator_b"": 2}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/ser/std/JsonValueSerializer.java:294-332,ocp,"{""ocp_rater_annotator_a"": 2, ""ocp_rater_annotator_b"": 1}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/functions/src/test/java/org/apache/jmeter/functions/TestTimeShiftFunction.java:105-112,ocp,"{""ocp_rater_annotator_a"": 1, ""ocp_rater_annotator_b"": 2}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/ser/std/BeanSerializerBase.java:746-778,ocp,"{""ocp_rater_annotator_a"": 0, ""ocp_rater_annotator_b"": 2}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/junit5-main/platform-tooling-support-tests/src/test/java/platform/tooling/support/tests/MavenStarterTests.java:83-96,ocp,"{""ocp_rater_annotator_a"": 2, ""ocp_rater_annotator_b"": 1}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/struts-main/plugins/convention/src/test/java/org/apache/struts2/convention/actions/interceptor/InterceptorsAction.java:46-48,ocp,"{""ocp_rater_annotator_a"": 2, ""ocp_rater_annotator_b"": 1}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/struts-main/core/src/main/java/org/apache/struts2/components/Bean.java:112-114,ocp,"{""ocp_rater_annotator_a"": 1, ""ocp_rater_annotator_b"": 2}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/junit5-main/junit-platform-console/src/main/java/org/junit/platform/console/tasks/TestFeedPrintingListener.java:68-83,ocp,"{""ocp_rater_annotator_a"": 1, ""ocp_rater_annotator_b"": 2}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/struts-main/plugins/javatemplates/src/main/java/org/apache/struts2/views/java/simple/LabelHandler.java:30-45,ocp,"{""ocp_rater_annotator_a"": 2, ""ocp_rater_annotator_b"": 1}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/introspect/JacksonAnnotationIntrospector.java:604-631,ocp,"{""ocp_rater_annotator_a"": 0, ""ocp_rater_annotator_b"": 1}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/commons-lang-master/src/main/java/org/apache/commons/lang3/ArrayUtils.java:4792-4794,ocp,"{""ocp_rater_annotator_a"": NaN, ""ocp_rater_annotator_b"": 2.0}","{""ocp_na_annotator_a"": 1, ""ocp_na_annotator_b"": 0}",na_or_missing
systems/Projects/junit5-main/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/extension/DefaultTestReporter.java:39-41,ocp,"{""ocp_rater_annotator_a"": NaN, ""ocp_rater_annotator_b"": 2.0}","{""ocp_na_annotator_a"": 1, ""ocp_na_annotator_b"": 0}",na_or_missing
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/deser/std/JsonNodeDeserializer.java:352-381,ocp,"{""ocp_rater_annotator_a"": 0, ""ocp_rater_annotator_b"": 1}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.java:747-767,ocp,"{""ocp_rater_annotator_a"": 1, ""ocp_rater_annotator_b"": 0}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/module/SimpleModuleTest.java:56-58,ocp,"{""ocp_rater_annotator_a"": 2, ""ocp_rater_annotator_b"": 1}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/cfg/CacheProviderTest.java:120-122,ocp,"{""ocp_rater_annotator_a"": 0, ""ocp_rater_annotator_b"": 2}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/junit5-main/jupiter-tests/src/test/java/org/junit/jupiter/engine/descriptor/JupiterTestDescriptorTests.java:64-70,ocp,"{""ocp_rater_annotator_a"": 2, ""ocp_rater_annotator_b"": 1}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/introspect/AccessorNamingStrategyTest.java:70-75,ocp,"{""ocp_rater_annotator_a"": 1, ""ocp_rater_annotator_b"": 2}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/struct/UnwrapSingleArrayScalarsTest.java:416-438,ocp,"{""ocp_rater_annotator_a"": 1, ""ocp_rater_annotator_b"": 2}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/protocol/http/src/test/java/org/apache/jmeter/gui/action/ParseCurlCommandActionTest.java:459-468,ocp,"{""ocp_rater_annotator_a"": 1, ""ocp_rater_annotator_b"": 2}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/gui/UndoHistory.java:306-319,ocp,"{""ocp_rater_annotator_a"": 1, ""ocp_rater_annotator_b"": 2}","{""ocp_na_annotator_a"": 0, ""ocp_na_annotator_b"": 0}",disagreement_no_tiebreak
